"","year","period","date","Bread","Beef","Chicken","Eggs","Milk","Cheese","Apples","Oranges"
"1",1980,"M01",1980-01-01,0.715,1.821,0.699,0.879,NA,NA,0.554,0.339
"2",1980,"M02",1980-02-01,0.723,1.843,0.673,0.774,NA,NA,0.574,0.337
"3",1980,"M03",1980-03-01,0.696,1.855,0.655,0.812,NA,NA,0.593,0.352
"4",1980,"M04",1980-04-01,0.713,1.818,0.638,0.797,NA,NA,0.634,0.349
"5",1980,"M05",1980-05-01,0.72,1.807,0.628,0.737,NA,NA,0.663,0.36
"6",1980,"M06",1980-06-01,0.726,1.793,0.64,0.731,NA,NA,0.701,NA
"7",1980,"M07",1980-07-01,0.735,1.78,0.71,0.776,NA,NA,0.753,NA
"8",1980,"M08",1980-08-01,0.741,1.842,0.751,0.907,NA,NA,0.807,NA
"9",1980,"M09",1980-09-01,0.723,1.865,0.791,0.898,NA,NA,0.702,NA
"10",1980,"M10",1980-10-01,0.739,1.861,0.792,0.867,NA,NA,0.57,NA
"11",1980,"M11",1980-11-01,0.737,1.852,0.766,0.917,NA,NA,0.496,NA
"12",1980,"M12",1980-12-01,0.747,1.863,0.76,1.031,NA,NA,0.503,0.451
"13",1981,"M01",1981-01-01,0.759,1.856,0.749,0.943,NA,NA,0.512,0.4
"14",1981,"M02",1981-02-01,0.75,1.832,0.759,0.924,NA,NA,0.504,0.399
"15",1981,"M03",1981-03-01,0.767,1.824,0.755,0.875,NA,NA,0.525,0.392
"16",1981,"M04",1981-04-01,0.753,1.783,0.734,0.904,NA,NA,0.529,0.398
"17",1981,"M05",1981-05-01,0.762,1.783,0.706,0.836,NA,NA,0.531,0.368
"18",1981,"M06",1981-06-01,0.766,1.781,0.717,0.852,NA,NA,0.546,0.387
"19",1981,"M07",1981-07-01,0.781,1.764,0.767,0.86,NA,NA,0.577,NA
"20",1981,"M08",1981-08-01,0.787,1.795,0.752,0.868,NA,NA,0.662,NA
