"","year","period","date","Bread","Beef","Chicken","Eggs","Milk","Cheese","Apples","Oranges"
"1",2008,"M01",2008-01-01,1.812,2.725,1.163,2.175,3.871,3.994,1.161,0.905
"2",2008,"M02",2008-02-01,1.884,2.791,1.159,2.168,3.869,4.059,1.176,0.887
"3",2008,"M03",2008-03-01,1.873,2.832,1.168,2.203,3.781,4.008,1.209,0.898
"4",2008,"M04",2008-04-01,1.92,2.829,1.176,2.069,3.799,3.876,1.205,0.931
"5",2008,"M05",2008-05-01,1.973,2.798,1.194,1.93,3.76,3.938,1.254,1.008
"6",2008,"M06",2008-06-01,1.982,2.835,1.181,1.92,3.773,3.929,1.362,1.136
"7",2008,"M07",2008-07-01,1.933,2.785,1.191,2.011,3.961,4.182,1.452,1.291
"8",2008,"M08",2008-08-01,1.95,2.964,1.223,1.854,3.886,4.188,1.58,1.452
"9",2008,"M09",2008-09-01,1.951,2.981,1.214,1.978,3.773,4.089,1.584,1.471
"10",2008,"M10",2008-10-01,2.003,2.956,1.205,1.858,3.656,4.021,1.417,1.428
"11",2008,"M11",2008-11-01,2.019,2.987,1.304,1.838,3.734,4.08,1.259,1.055
"12",2008,"M12",2008-12-01,1.948,2.999,1.305,1.834,3.681,4.141,1.179,0.934
"13",2009,"M01",2009-01-01,1.974,2.961,1.292,1.85,3.575,4.124,1.233,0.896
"14",2009,"M02",2009-02-01,1.97,3.019,1.29,1.795,3.319,4.049,1.191,0.912
"15",2009,"M03",2009-03-01,1.943,2.976,1.301,1.693,3.116,3.885,1.195,0.889
"16",2009,"M04",2009-04-01,1.914,2.994,1.296,1.774,3.084,3.776,1.202,0.91
"17",2009,"M05",2009-05-01,1.885,2.876,1.304,1.501,3.068,3.92,1.147,0.963
"18",2009,"M06",2009-06-01,1.848,2.873,1.282,1.529,3.009,3.9,1.183,1.06
"19",2009,"M07",2009-07-01,1.875,2.8,1.261,1.495,2.992,3.881,1.193,1.191
"20",2009,"M08",2009-08-01,1.835,2.843,1.287,1.632,2.979,3.902,1.217,1.222
"21",2009,"M09",2009-09-01,1.866,2.782,1.258,1.627,2.981,3.82,1.212,1.255
"22",2009,"M10",2009-10-01,1.893,2.785,1.244,1.595,3.046,3.881,1.129,1.262
"23",2009,"M11",2009-11-01,1.809,2.797,1.256,1.705,3.034,3.838,1.163,1.113
"24",2009,"M12",2009-12-01,1.757,2.828,1.267,1.772,3.105,3.858,1.114,0.932
"25",2010,"M01",2010-01-01,1.759,2.825,1.265,1.789,3.236,3.875,1.141,0.899
"26",2010,"M02",2010-02-01,1.741,2.881,1.265,1.872,3.203,3.943,1.153,0.87
"27",2010,"M03",2010-03-01,1.793,2.824,1.231,1.822,3.188,3.914,1.173,0.858
"28",2010,"M04",2010-04-01,1.821,2.89,1.23,1.779,3.14,3.939,1.2,0.871
"29",2010,"M05",2010-05-01,1.786,2.921,1.259,1.523,3.178,3.912,1.259,0.952
"30",2010,"M06",2010-06-01,1.768,2.965,1.239,1.494,3.297,4.074,1.262,1.096
"31",2010,"M07",2010-07-01,1.755,2.936,1.28,1.441,3.313,3.956,1.29,1.149
"32",2010,"M08",2010-08-01,1.681,2.849,1.254,1.519,3.303,3.811,1.305,1.242
"33",2010,"M09",2010-09-01,1.774,2.915,1.276,1.753,3.278,3.864,1.259,1.302
"34",2010,"M10",2010-10-01,1.743,2.978,1.302,1.456,3.321,4.004,1.18,1.281
"35",2010,"M11",2010-11-01,1.884,2.949,1.277,1.675,3.327,3.836,1.225,1.2
"36",2010,"M12",2010-12-01,1.88,2.932,1.28,1.793,3.318,3.797,1.196,1.021
"37",2011,"M01",2011-01-01,1.884,2.991,1.241,1.806,3.301,3.758,1.241,1.052
"38",2011,"M02",2011-02-01,1.864,3.058,1.266,1.708,3.357,3.734,1.311,0.989
"39",2011,"M03",2011-03-01,1.895,3.151,1.269,1.732,3.503,3.828,1.283,0.957
"40",2011,"M04",2011-04-01,1.929,3.25,1.261,1.727,3.597,3.891,1.345,0.926
"41",2011,"M05",2011-05-01,1.911,3.277,1.302,1.692,3.653,4.052,1.306,0.916
"42",2011,"M06",2011-06-01,1.938,3.211,1.305,1.683,3.622,3.922,1.317,1.014
"43",2011,"M07",2011-07-01,1.85,3.272,1.306,1.647,3.654,4.093,1.374,1.078
"44",2011,"M08",2011-08-01,1.974,3.231,1.296,1.711,3.713,4.204,1.529,1.268
"45",2011,"M09",2011-09-01,2.073,3.105,1.294,1.947,3.715,4.281,1.505,1.438
"46",2011,"M10",2011-10-01,2.041,3.218,1.312,1.871,3.622,4.36,1.409,1.386
"47",2011,"M11",2011-11-01,2.093,3.197,1.304,1.836,3.557,4.367,1.318,1.142
"48",2011,"M12",2011-12-01,2.073,3.265,1.34,1.874,3.565,4.303,1.266,0.983
"49",2012,"M01",2012-01-01,1.984,3.292,1.334,1.939,3.583,4.396,1.272,0.929
"50",2012,"M02",2012-02-01,2.044,3.294,1.356,1.798,3.52,4.262,1.282,0.852
"51",2012,"M03",2012-03-01,2.056,3.366,1.372,1.774,3.499,4.316,1.284,0.85
"52",2012,"M04",2012-04-01,2.019,3.327,1.401,1.829,3.474,4.252,1.257,0.91
"53",2012,"M05",2012-05-01,2.027,3.379,1.347,1.691,3.427,4.218,1.294,0.968
"54",2012,"M06",2012-06-01,1.935,3.448,1.39,1.67,3.396,4.03,1.377,1.032
"55",2012,"M07",2012-07-01,1.974,3.449,1.454,1.648,3.428,4.052,1.435,1.127
"56",2012,"M08",2012-08-01,1.905,3.447,1.433,1.884,3.474,4.085,1.504,1.283
"57",2012,"M09",2012-09-01,1.982,3.482,1.455,1.889,3.469,4.127,1.524,1.296
"58",2012,"M10",2012-10-01,2.014,3.514,1.53,1.96,3.524,4.093,1.435,1.254
"59",2012,"M11",2012-11-01,1.991,3.46,1.512,1.963,3.536,4.188,1.437,1.102
"60",2012,"M12",2012-12-01,1.925,3.464,1.482,2.007,3.58,4.237,1.424,1.035
"61",2013,"M01",2013-01-01,2.078,3.406,1.497,1.933,3.526,4.258,1.35,0.991
"62",2013,"M02",2013-02-01,2.025,3.408,1.456,1.965,3.48,4.238,1.433,0.998
"63",2013,"M03",2013-03-01,2.024,3.417,1.471,1.925,3.431,4.207,1.393,0.988
"64",2013,"M04",2013-04-01,2.046,3.479,1.473,1.918,3.428,4.131,1.33,0.981
"65",2013,"M05",2013-05-01,2.071,3.461,1.466,1.87,3.441,4.065,1.406,1.048
